image,title,platform,price
https://media.gamestop.com/i/gamestop/11105646/Assassins-Creed-Valhalla?w=188&h=188,Assassin's Creed Valhalla,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11109005/Balan-Wonderworld?w=188&h=188,Balan Wonderworld,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11103153/Call-of-Duty-Black-Ops-Cold-War?w=188&h=188,Call of Duty: Black Ops Cold War,PlayStation 5,69.99
https://media.gamestop.com/i/gamestop/11136890/Cant-Drive-This?w=188&h=188,Can't Drive This,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11114718/Control-Ultimate-Edition?w=188&h=188,Control Ultimate Edition,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11108202/Demons-Souls?w=188&h=188,Demon's Souls,PlayStation 5,59.99
https://media.gamestop.com/i/gamestop/11108956/Devil-May-Cry-5-Special-Edition?w=188&h=188,Devil May Cry 5 Special Edition,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11110420/DIRT-5?w=188&h=188,DIRT 5,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11112301/FIFA-21-Next-Level-Edition?w=188&h=188,FIFA 21 Next Level Edition,PlayStation 5,59.94
https://media.gamestop.com/i/gamestop/11109097/Fortnite-The-Last-Laugh-Bundle?w=188&h=188,Fortnite: The Last Laugh Bundle,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11109001/Godfall?w=188&h=188,Godfall,PlayStation 5,69.99
https://media.gamestop.com/i/gamestop/11109003/Godfall-Ascended-Edition?w=188&h=188,Godfall Ascended Edition,PlayStation 5,99.99
https://media.gamestop.com/i/gamestop/11109002/Godfall-Deluxe-Edition?w=188&h=188,Godfall Deluxe Edition,PlayStation 5,89.99
https://media.gamestop.com/i/gamestop/11110452/HITMAN-3?w=188&h=188,HITMAN 3,PlayStation 5,59.99
https://media.gamestop.com/i/gamestop/11114033/Hunting-Simulator-2?w=188&h=188,Hunting Simulator 2,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11108593/Immortals-Fenyx-Rising?w=188&h=188,Immortals Fenyx Rising,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11116379/Judgment?w=188&h=188,Judgment,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11107485/Just-Dance-2021?w=188&h=188,Just Dance 2021,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11112063/Madden-NFL-21-Next-Level-Edition?w=188&h=188,Madden NFL 21 Next Level Edition,PlayStation 5,59.99
https://media.gamestop.com/i/gamestop/11110033/Maneater?w=188&h=188,Maneater,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11108199/Marvels-Spider-Man-Miles-Morales?w=188&h=188,Marvel's Spider-Man: Miles Morales,PlayStation 5,39.88
https://media.gamestop.com/i/gamestop/11108812/Marvels-Spider-Man-Miles-Morales-Ultimate-Edition?w=188&h=188,Marvel's Spider-Man: Miles Morales Ultimate Edition,PlayStation 5,59.99
https://media.gamestop.com/i/gamestop/11116345/MLB-The-Show-21?w=188&h=188,MLB The Show 21,PlayStation 5,59.99
https://media.gamestop.com/i/gamestop/11112691/Monster-Energy-Supercross-4?w=188&h=188,Monster Energy Supercross 4,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11110038/Mortal-Kombat-11-Ultimate-Edition?w=188&h=188,Mortal Kombat 11 Ultimate Edition,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11121856/Mortal-Shell-Enhanced-Edition---Deluxe-Set?w=188&h=188,Mortal Shell Enhanced Edition - Deluxe Set,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11103703/NBA-2K21?w=188&h=188,NBA 2K21,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11103699/NBA-2K21-Mamba-Forever-Edition?w=188&h=188,NBA 2K21 Mamba Forever Edition,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11113864/Nioh-Collection?w=188&h=188,Nioh Collection,PlayStation 5,59
https://media.gamestop.com/i/gamestop/11111141/Outriders?w=188&h=188,Outriders,PlayStation 5,44.99
https://media.gamestop.com/i/gamestop/11105888/Overcooked-All-You-Can-Eat?w=188&h=188,Overcooked! All You Can Eat,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11108747/Override-2-Super-Mech-League-Ultraman-Deluxe-Edition?w=188&h=188,Override 2 Super Mech League Ultraman Deluxe Edition,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11105229/Planet-Coaster-Console-Edition?w=188&h=188,Planet Coaster: Console Edition,PlayStation 5,39.99
https://media.gamestop.com/i/gamestop/11107489/Puyo-Puyo-Tetris-2-Launch-Edition?w=188&h=188,Puyo Puyo Tetris 2 Launch Edition,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11114710/Resident-Evil-Village?w=188&h=188,Resident Evil Village,PlayStation 5,59.99
https://media.gamestop.com/i/gamestop/11114713/Resident-Evil-Village-Deluxe-Edition?w=188&h=188,Resident Evil Village Deluxe Edition,PlayStation 5,69.99
https://media.gamestop.com/i/gamestop/11112929/Returnal?w=188&h=188,Returnal,PlayStation 5,69.99
https://media.gamestop.com/i/gamestop/11112729/Ride-4-PS5?w=188&h=188,Ride 4 PS5,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11108200/Sackboy-A-Big-Adventure?w=188&h=188,Sackboy: A Big Adventure,PlayStation 5,49.88
https://media.gamestop.com/i/gamestop/11118665/Spacebase-Startopia?w=188&h=188,Spacebase Startopia,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11111183/Spirit-of-the-North?w=188&h=188,Spirit of the North,PlayStation 5,34.99
https://media.gamestop.com/i/gamestop/11116196/Subnautica-Below-Zero?w=188&h=188,Subnautica: Below Zero,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11113911/Tennis-World-Tour-2?w=188&h=188,Tennis World Tour 2,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11111075/The-Pathless?w=188&h=188,The Pathless,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11120266/Tony-Hawk-Pro-Skater-1-and-2?w=188&h=188,Tony Hawk Pro Skater 1 and 2,PlayStation 5,44.99
https://media.gamestop.com/i/gamestop/11110271/Warhammer-Chaosbane-Slayer-Edition?w=188&h=188,Warhammer: Chaosbane Slayer Edition,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11105654/Watch-Dogs-Legion?w=188&h=188,Watch Dogs: Legion,PlayStation 5,29.83
https://media.gamestop.com/i/gamestop/11113140/Werewolf-The-Apocalypse-Earthblood?w=188&h=188,Werewolf: The Apocalypse Earthblood,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11108997/WRC-9?w=188&h=188,WRC 9,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11116121/Yakuza-Like-a-Dragon?w=188&h=188,Yakuza: Like a Dragon,PlayStation 5,59.8
https://media.gamestop.com/i/gamestop/11102094/Assassins-Creed-Valhalla?w=188&h=188,Assassin's Creed Valhalla,Xbox Series X,39.99
https://media.gamestop.com/i/gamestop/11102096/Assassins-Creed-Valhalla-Gold-Steelbook-Edition?w=188&h=188,Assassin's Creed Valhalla Gold Steelbook Edition,Xbox Series X,89.99
https://media.gamestop.com/i/gamestop/11102098/Assassins-Creed-Valhalla-Ultimate-Steelbook-Edition-Only-at-GameStop?w=188&h=188,Assassin's Creed Valhalla Ultimate Steelbook Edition Only at GameStop,Xbox Series X,109.99
